time,ax,ay,az,aT
8.7390,-0.0714,-0.0097,-0.2084,0.220
8.7590,-0.0481,0.0130,-0.0544,0.074
8.7770,-0.0301,-0.0239,-0.2397,0.243
8.7970,-0.0854,-0.0439,-0.0496,0.108
8.8160,-0.0458,-0.0249,-0.0989,0.112
8.8510,-0.0516,0.0060,-0.1603,0.169
8.8540,-0.0474,0.0002,-0.1314,0.140
8.8730,-0.0392,-0.0450,-0.1290,0.142
8.8900,-0.1119,-0.0271,-0.1038,0.155
8.9100,-0.0265,-0.0010,-0.1423,0.145
8.9290,-0.0637,-0.0295,-0.0641,0.095
8.9480,-0.0840,-0.0389,-0.1146,0.147
8.9670,-0.0391,-0.0469,-0.1315,0.145
9.0000,-0.1033,0.0194,-0.1231,0.162
9.0060,-0.0249,-0.0031,-0.1243,0.127
9.0230,-0.0604,0.0147,-0.1507,0.163
9.0430,-0.0770,-0.0410,-0.1676,0.189
9.0620,-0.0549,-0.0491,-0.1159,0.137
9.0810,-0.0553,-0.0136,-0.0124,0.058
9.1010,-0.0462,-0.0422,-0.2458,0.254
9.1350,-0.0703,0.0269,-0.1760,0.191
9.1380,-0.0276,0.0114,-0.1315,0.135
9.1570,-0.0125,-0.0183,-0.0894,0.092
9.1760,-0.0873,-0.0490,-0.1820,0.208
9.1940,-0.0601,-0.0255,-0.1279,0.144
9.2140,-0.0236,-0.0158,-0.0485,0.056
9.2340,-0.0677,0.0058,-0.1821,0.194
9.2660,-0.0671,-0.0228,-0.1111,0.132
9.2710,-0.0593,-0.0122,-0.1484,0.160
9.2900,-0.0561,0.0024,-0.1087,0.122
9.3090,-0.0382,-0.0262,-0.1629,0.169
9.3270,-0.0756,-0.0363,-0.1148,0.142
9.3470,-0.0754,-0.0067,-0.1184,0.140
9.3760,-0.0626,0.0010,-0.0390,0.074
9.3850,-0.0324,0.0032,-0.3000,0.302
9.4030,-0.0260,-0.0256,-0.0534,0.065
9.4220,-0.0385,0.0028,-0.1833,0.187
9.4420,-0.0903,0.0039,-0.1761,0.198
9.4610,-0.0477,-0.0093,-0.0666,0.082
9.4860,-0.0649,-0.0237,-0.2049,0.216
9.5210,-0.0372,-0.0590,-0.0714,0.100
9.5210,-0.0160,0.0290,-0.1148,0.119
9.5370,-0.0761,0.0014,-0.1135,0.137
